core/section;mbsf;3He (pcc/g);3He/4He(x10-8);extraterrestrial 3He (pcc/g);3 He +/-;Carbonate Fraction;DBD (g/cm3);LSR (cm/kyr);LSR +/- 2 sigma;mean Depth (mbsf);Thickness (cm)
18H-2W-80-81;159.5;0.264569479;33.79037613;0.233250573;0.015659453;0.848463687;1.386769231;2.120787714;0.318118157;161.8;460
18H-5W-90-91;164.1;0.950820611;110.7069123;0.916466131;0.017177241;0.852637902;1.490961538;0.502043393;0.075306509;165.505;281
19H-1W-1-2;166.91;0.161325066;21.97185147;0.131955664;0.014684702;0.86639992;1.341538462;3.875189569;0.581278435;166.955;9
19H-1W-10-11;167;0.11975601;17.99494569;0.093136092;0.013309959;0.864749925;1.328615385;5.543790713;0.831568607;167.04;8
19H-1W-18-19;167.08;0.129179274;42.14307379;0.116918258;0.006130508;0.925418462;1.390807692;4.218661646;0.632799247;167.14;12
19H-1W-30-31;167.2;0.079141937;17.06865442;0.060595208;0.009273365;0.925418462;1.339923077;8.449012824;1.267351924;167.25;10
19H-1W-40-41;167.3;0.063009795;17.73675902;0.048799806;0.007104995;0.916866627;1.202615385;11.6890513;1.753357696;167.35;10
19H-1W-50-51;167.4;0.074417298;23.69706655;0.061855864;0.006280717;0.934224815;1.376269231;8.058233318;1.208734998;167.45;10
19H-1W-60-61;167.5;0.062883244;25.38846084;0.052975872;0.004953686;0.950574483;1.305192308;9.921366554;1.488204983;167.545;9
19H-1W-69-70;167.59;0.071113712;33.54801721;0.062634678;0.004239517;0.952848703;1.284192308;8.528628588;1.279294288;167.645;11
19H-1W-80-81;167.7;0.062236022;29.66469644;0.053844093;0.004195965;0.952848703;1.321346154;9.642051432;1.446307715;167.75;10
19H-1W-90-91;167.8;0.040004161;29.2772968;0.034538608;0.002732776;0.964442441;1.286615385;15.43727151;2.315590727;167.85;10
19H-1W-100-101;167.9;0.04975433;34.70280498;0.044019426;0.002867452;0.967823699;1.372230769;11.35671127;1.70350669;167.95;10
19H-1W-110-111;168;0.043933204;26.68010951;0.037346545;0.003293329;0.961788537;1.228461538;14.95244183;2.242866274;168.045;9
19H-1W-119-120;168.09;0.053232491;32.48901274;0.046678586;0.003276953;0.956991398;1.205846154;12.18749706;1.828124559;168.145;11
19H-1W-130-131;168.2;0.057015286;38.43404795;0.051081458;0.002966915;0.956991398;1.269653846;10.57731657;1.586597485;168.25;10
19H-1W-140-141;168.3;0.036879158;23.08549926;0.030489146;0.003195006;0.965410377;1.289846154;17.44379357;2.616569035;168.345;9
19H-1W-149-150;168.39;0.041239832;24.19370084;0.034421557;0.003409137;0.965410377;1.304384615;15.2787538;2.291813071;168.4;2
19H-2W-1-2;168.41;0.035136129;22.82;0.0289773;0.003079415;0.936836679;1.304384615;18.14932738;2.722399107;168.455;9
19H-2W-10-11;168.5;0.043458244;32.9;0.038174569;0.002641838;0.956270142;1.273692308;14.10864969;2.116297453;168.55;10
19H-2W-20-21;168.6;0.258020751;233.52;0.253601084;0.002209834;0.961530508;1.331038462;2.032274674;0.304841201;168.65;10
19H-2W-30-31;168.7;0.03523245;35;0.031205886;0.002013282;0.961530508;1.255923077;17.50348651;2.625522976;168.75;10
19H-2W-40-41;168.8;0.049843456;34.86;0.044124186;0.002859635;0.9574293;1.244615385;12.49143248;1.873714872;168.85;10
19H-2W-50-51;168.9;0.059463788;21.7;0.048502723;0.005480533;0.939512352;1.327;10.65827875;1.598741812;168.94;8
19H-2W-58-59;168.98;0.332260956;32.06;0.290806076;0.020727441;0.939512352;1.222;1.930409446;0.289561417;169.04;12
19H-2W-70-71;169.1;0.085844293;17.10740538;0.065772452;0.010035921;0.894978335;1.343961538;7.760563299;1.164084495;169.145;9
19H-2W-79-80;169.19;0.096834301;24.78;0.081203263;0.007815519;0.878765444;1.3585;6.218576668;0.9327865;169.24;10
19H-2W-89-90;169.29;0.094878052;22.69620371;0.07815666;0.008360697;0.83310755;1.432;6.129359703;0.919403956;169.345;11
19H-2W-100-101;169.4;0.183436029;19.866312;0.146501947;0.018467042;0.829418922;1.412615385;3.314795864;0.49721938;169.425;5
19H-2W-105-106;169.45;0.145980725;35.07338749;0.129332127;0.008324299;0.829418922;1.393230769;3.807103093;0.571065464;169.525;15
19H-2W-120-121;169.6;0.266969822;27.32868544;0.227894432;0.019537696;0.799725723;1.352846154;2.225061345;0.333759202;169.65;10
